Company,TypeName,Ram,Gpu,OpSys,Weight,PPI,SSD_GB,Cpu_Family,Cpu_Clockspeed,target
Acer,2 in 1 Convertible,8,Intel HD Graphics 520,Windows 10,1.6,165.63,256,Core i7,2.5,789.01
Razer,Gaming,16,Nvidia GeForce GTX 1060,Windows 10,1.95,157.35,512,Core i7,2.8,2899
Lenovo,2 in 1 Convertible,4,Intel HD Graphics 520,Windows 10,2.1,141.21,256,Core i5,2.3,867
Dell,Notebook,8,AMD Radeon R5 M430,Linux,2.2,141.21,0,Core i7,2.7,599.9
HP,Notebook,4,Intel HD Graphics 520,Windows 10,1.86,141.21,0,Core i3,2,469
Lenovo,Notebook,4,Intel HD Graphics 520,Windows 10,2.1,100.45,0,Core i5,2.3,540
Mediacom,Notebook,2,Intel HD Graphics,Windows 10,1.4,157.35,0,Atom,1.44,239
Lenovo,2 in 1 Convertible,4,Intel HD Graphics 620,Windows 10,1.74,157.35,256,Core i3,2.4,629
MSI,Gaming,8,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7,127.34,128,Core i7,2.8,1348.48
Acer,Notebook,4,Intel HD Graphics 405,Windows 10,1.6,111.94,0,Pentium Quad Core,1.6,349
Asus,Notebook,4,Intel HD Graphics 500,Windows 10,1.5,111.94,0,Celeron Dual Core,1.1,278
Lenovo,Notebook,4,Intel HD Graphics 500,Windows 10,2.1,111.94,0,Celeron Dual Core,1.1,299
Dell,Notebook,16,AMD Radeon R7 M445,Windows 10,2.32,141.21,0,Core i7,2.7,989.99
Lenovo,Notebook,16,Intel HD Graphics 520,Windows 7,1.1,209.8,256,Core i7,2.6,2620
HP,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,3.35,127.34,128,Core i7,2.8,1191
Lenovo,2 in 1 Convertible,16,Intel Iris Graphics 540,Windows 10,1.3,276.05,1024,Core i7,2.2,1799
Dell,Notebook,8,Nvidia GeForce GTX 930MX,Windows 10,1.93,141.21,256,Core i7,2.8,1369
Lenovo,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,2.5,141.21,256,Core i5,2.5,829
Lenovo,Notebook,8,Intel HD Graphics 620,No OS,2.8,106.11,0,Core i5,2.5,539
Lenovo,Notebook,2,Intel HD Graphics 500,Windows 10,1.15,135.09,0,Celeron Dual Core,1.1,304.45
Dell,Ultrabook,16,Intel HD Graphics 620,Windows 10,1.2,276.05,1024,Core i7,2.7,2254
Dell,Gaming,16,Nvidia GeForce GTX 970M,Windows 10,3.21,282.42,256,Core i7,2.6,1329
Dell,Netbook,4,Intel HD Graphics 400,Chrome OS,1.26,135.09,0,Celeron Dual Core,1.6,295
Lenovo,Notebook,8,Intel HD Graphics 620,Windows 10,2.3,141.21,256,Core i5,2.5,830
Dell,Notebook,4,Intel HD Graphics 520,Windows 10,1.95,100.45,0,Core i5,2.3,729.9
Lenovo,Notebook,8,AMD R17M-M1-70,Windows 10,1.9,141.21,128,Core i5,2.5,813
Lenovo,Notebook,8,Intel HD Graphics 520,Windows 10,2.3,141.21,256,Core i5,2.3,1349
HP,Notebook,4,Intel HD Graphics 620,Windows 10,2.04,141.21,0,Core i3,2.4,685
Lenovo,Notebook,8,Intel HD Graphics 630,Windows 10,1.95,141.21,256,Core i7,2.7,1097
Asus,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,3,127.34,0,Core i7,2.8,1039
Dell,Ultrabook,16,Intel Iris Plus Graphics 640,Windows 10,1.29,276.05,512,Core i7,2.5,2240
Asus,Gaming,16,Nvidia GeForce GTX 1060,Windows 10,2.2,141.21,128,Core i7,2.8,1449
HP,Notebook,8,AMD Radeon R7 Graphics,Windows 10,2.04,100.45,0,A12-Series,2.5,629
HP,Notebook,4,Intel HD Graphics 520,Windows 10,1.48,111.94,256,Core i5,2.4,1099.99
Dell,Notebook,8,Intel HD Graphics 620,Windows 10,1.9,141.21,0,Core i5,2.6,935
Lenovo,Notebook,8,Nvidia GeForce GTX 940MX,Windows 10,2.3,141.21,256,Core i5,2.5,1011.99
Toshiba,Notebook,16,Nvidia GeForce 930M,Windows 10,2.4,141.21,256,Core i7,2.5,1425
HP,Ultrabook,8,Intel HD Graphics 520,Windows 7,1.26,125.37,256,Core i5,2.4,1895
Acer,Notebook,2,Intel HD Graphics,Chrome OS,2.19,100.45,16,Celeron Dual Core,1.5,199
Acer,Notebook,12,Intel HD Graphics 620,Windows 10,2.15,141.21,0,Core i7,2.7,659
Lenovo,Notebook,4,AMD Radeon R2 Graphics,Windows 10,2.2,100.45,0,E-Series,2.2,299
Lenovo,Notebook,4,Intel HD Graphics 520,Windows 10,2.1,100.45,128,Core i3,2,429
Asus,2 in 1 Convertible,8,Intel UHD Graphics 620,Windows 10,1.1,165.63,1024,Core i7,1.8,1499
Asus,Notebook,4,Intel HD Graphics 520,Linux,2,141.21,256,Core i3,2,415
Dell,Ultrabook,16,Intel HD Graphics 620,Windows 10,1.2,276.05,512,Core i7,2.7,2680
Acer,Notebook,4,AMD Radeon R5,Windows 10,2.1,100.45,128,A9-Series,3,426
Lenovo,Gaming,4,Nvidia GeForce GTX 1050,Windows 10,2.4,141.21,0,Core i7,2.8,999
Lenovo,2 in 1 Convertible,8,Intel HD Graphics 540,Windows 10,1.3,276.05,256,Core i5,1.8,1199
HP,Notebook,8,Intel HD Graphics 405,Windows 10,2.04,100.45,0,Pentium Quad Core,1.6,389
Dell,Notebook,16,Intel HD Graphics 620,Windows 10,1.93,141.21,512,Core i5,2.6,1426.66
Dell,Ultrabook,8,Intel HD Graphics 520,Linux,1.23,276.05,256,Core i5,2.4,1099
Dell,Notebook,8,Nvidia GeForce GTX 1050,Windows 10,2,141.21,256,Core i7,2.8,1820
HP,2 in 1 Convertible,8,Intel HD Graphics 520,Windows 10,1.48,220.84,256,Core i7,2.6,1799
Toshiba,Notebook,8,Intel HD Graphics 620,Windows 10,1.05,165.63,256,Core i5,2.5,1475
HP,2 in 1 Convertible,8,Intel HD Graphics 500,Chrome OS,1.4,135.09,0,Celeron Dual Core,1.1,495
Dell,Notebook,4,AMD Radeon R5 M430,Windows 10,2.25,100.45,0,Core i5,2.5,599
Dell,Notebook,4,AMD Radeon R5 M430,Linux,2.3,141.21,256,Core i5,2.5,598.9
Dell,2 in 1 Convertible,8,Intel HD Graphics 615,Windows 10,1.24,276.05,512,Core i7,1.3,2013.1
Lenovo,Notebook,4,AMD Radeon R4 Graphics,Windows 10,2.2,141.21,128,A6-Series,2.5,399
HP,Notebook,8,Intel UHD Graphics 620,Windows 10,2.5,127.34,256,Core i5,1.6,928
Asus,Notebook,4,Nvidia GeForce GTX 950M,No OS,2.45,100.45,0,Core i5,2.3,579
HP,Ultrabook,8,Intel HD Graphics 520,Windows 7,1.54,209.8,256,Core i7,2.5,2198.19
Lenovo,Gaming,16,Nvidia GeForce GTX 960,Windows 10,3.31,141.21,512,Core i7,2.6,1305
Asus,2 in 1 Convertible,6,Intel HD Graphics 620,Windows 10,1.5,165.63,0,Core i5,2.5,639.01
Dell,Notebook,8,AMD Radeon 530,Windows 10,2.8,127.34,128,Core i7,1.8,1142
Lenovo,2 in 1 Convertible,8,Intel HD Graphics 620,Windows 10,1.37,165.63,512,Core i7,2.7,2025
Lenovo,Notebook,32,Nvidia Quadro M2200M,Windows 10,2.5,282.42,1024,Xeon,3.1,4899
HP,Notebook,4,AMD Radeon R5 520,Windows 10,2.1,141.21,128,Core i3,2,499
Dell,Notebook,4,AMD Radeon 530,Windows 10,2.2,141.21,0,Core i5,1.6,776
Lenovo,Notebook,4,Nvidia GeForce 920MX,No OS,2.2,141.21,0,Core i5,2.5,499
HP,Notebook,8,Intel HD Graphics 520,Windows 10,2.54,106.11,0,Core i3,2,489
Toshiba,Ultrabook,8,Intel HD Graphics 520,Windows 10,1.47,157.35,256,Core i7,2.6,1725
Asus,Notebook,4,Intel HD Graphics 620,Linux,2,141.21,256,Core i5,2.5,559
Lenovo,Notebook,8,AMD Radeon RX 550,Windows 10,1.75,157.35,256,Core i5,1.6,1116.02
Dell,Ultrabook,8,Intel HD Graphics 620,Windows 10,1.29,165.63,256,Core i5,2.5,1499
HP,Notebook,4,Intel UHD Graphics 620,Windows 10,1.49,165.63,128,Core i5,1.6,726
Dell,Notebook,8,AMD Radeon 530,Windows 10,2.02,141.21,0,Core i5,1.6,759
